name,iata,icao,callsign,country,active
Unknown,-,N/A,,,Y
135 Airways,,GNL,GENERAL,United States,N
1Time Airline,1T,RNX,NEXTIME,South Africa,Y
2 Sqn No 1 Elementary Flying Training School,,WYT,,United Kingdom,N
213 Flight Unit,,TFU,,Russia,N
223 Flight Unit State Airline,,CHD,CHKALOVSK-AVIA,Russia,N
224th Flight Unit,,TTF,CARGO UNIT,Russia,N
247 Jet Ltd,,TWF,CLOUD RUNNER,United Kingdom,N
3D Aviation,,SEC,SECUREX,United States,N
40-Mile Air,Q5,MLA,MILE-AIR,United States,Y
4D Air,,QRT,QUARTET,Thailand,N
611897 Alberta Limited,,THD,DONUT,Canada,N
Ansett Australia,AN,AAA,ANSETT,Australia,Y
Abacus International,1B,,,Singapore,Y
Abelag Aviation,W9,AAB,ABG,Belgium,N
Army Air Corps,,AAC,ARMYAIR,United Kingdom,N
Aero Aviation Centre Ltd.,,AAD,SUNRISE,Canada,N
Aero Servicios Ejecutivos Internacionales,,SII,ASEISA,Mexico,N
Aero Biniza,,BZS,BINIZA,Mexico,N
Aero Albatros,,ABM,ALBATROS ESPANA,Spain,N
Aigle Azur,ZI,AAF,AIGLE AZUR,France,Y
Aloha Airlines,AQ,AAH,ALOHA,United States,Y
Alaska Island Air,,AAK,ALASKA ISLAND,United States,N
American Airlines,AA,AAL,AMERICAN,United States,Y
Aviation Management Corporation,,AAM,AM CORP,United States,N
Aerovista Airlines,,AAP,AEROVISTA GROUP,United Arab Emirates,N
Asiana Airlines,OZ,AAR,ASIANA,Republic of Korea,Y
Askari Aviation,4K,AAS,AL-AAS,Pakistan,Y
Australia Asia Airlines,,AAU,AUSTASIA,Australia,N
Astro Air International,,AAV,ASTRO-PHIL,United States,N
Afriqiyah Airways,8U,AAW,AFRIQIYAH,Libya,Y
Afrinat International Airlines,Q9,AFU,,Gambia,N
Afric'air Express,,AAX,AFREX,Ivory Coast,N
Allegiant Air,G4,AAY,ALLEGIANT,United States,Y
Angus Aviation,,AAZ,ANGUS,Canada,N
Artem-Avia,,ABA,ARTEM-AVIA,Ukraine,N
African Business and Transportations,,ABB,AFRICAN BUSINESS-,Democratic Republic of the Congo,N
Aban Air,K5,ABE,ABAN,Iran,N
Aerial Oy,,ABF,SKYWINGS,Finland,N
